h,RMSE,R2
1,1.6715847001296962,0.5485097577445137
2,1.8577712488566835,0.515471069579249
3,1.8677773838984835,0.5190422539582455
4,1.8866215003534281,0.5137917855935172
5,1.885586249532524,0.5128123511951272
6,2.2809253616993908,0.39131987085512776
7,3.0313287564478095,0.7680964979171271
8,5.427978874169329,0.8029349135379547
9,6.9943014775650125,0.7534495877988812
10,7.215825271583059,0.6634123993105185
11,5.493469296933121,0.5141907153316408
12,3.490678168834859,0.42742460323507925
13,3.5521555219311987,0.44090685406922536
14,3.6305422825939133,0.49134924894970433
15,4.3197453496477864,0.6485369561975771
16,5.617515128725107,0.76708670943417
17,6.321457159398749,0.7897773851921145
18,7.023829190270164,0.8074393598752629
19,7.164938209978388,0.7335109618843225
20,5.2624057273065326,0.5457460372078862
21,3.034737175773164,0.4073017512374295
22,2.6214519945716335,0.23896804774883063
23,2.5414923082528893,0.25015607899679504
24,2.2070194712201774,0.3639280598950182
25,1.6732850753298314,0.5481434565177434
26,1.858882542352844,0.5153204823855112
27,1.8652057948024916,0.520077892441585
28,1.8817124498171547,0.5151771057077417
29,1.8870069496938193,0.5126250647273354
30,2.2822850732993114,0.3908281448038552
31,3.0317285547522435,0.7680097607113165
32,5.431937813304835,0.8026525537897937
33,6.99728497579169,0.7532062905784125
34,7.219009092136699,0.6629853958799423
35,5.496958061404539,0.5132344590025705
36,3.489590516210576,0.428486449891866
37,3.5550347284541397,0.4429120283830702
38,3.634744214632857,0.4926590270032788
39,4.327838240024456,0.6477194129539283
40,5.617645569055332,0.7668742070162498
41,6.319664386690248,0.7897346259832677
42,7.024054537838152,0.8073249084113562
43,7.16410104841175,0.7335288661675599
44,5.2647859169741995,0.545153454989804
45,3.0400349721079185,0.40623299078939756
46,2.628020720500881,0.23831552935368938
47,2.547085328149111,0.2481529185533129
48,2.208048321901986,0.36338016399361783
49,1.6743541283823276,0.5477955264346246
50,1.8607632691992566,0.5147783533716181
51,1.8671773619555618,0.5192525720811685
52,1.8825435192615412,0.5148580078085048
53,1.8830290942937733,0.5138564860515547
54,2.2921083631152737,0.3855178138866774
55,3.0393184697954934,0.7671562601320909
56,5.422170212039479,0.8028876366160735
57,6.984916831627305,0.7535571830606057
58,7.214273659583451,0.6635235695971542
59,5.4997924438888495,0.5130313593124778
60,3.4910101807834937,0.4296517345982862
61,3.5623530009795696,0.4423143987744348
62,3.6463930209431865,0.4912735381249901
63,4.331661038699643,0.647741965041229
64,5.607836151626711,0.7675589527081165
65,6.299252230838815,0.7908146632951835
66,7.018040288844629,0.8075778769630226
67,7.155823906973848,0.7337858588678636
68,5.26891304185072,0.5439495917760477
69,3.0475927272531065,0.4037247837368728
70,2.630926516663015,0.23752190759582603
71,2.549355528663865,0.24775184878540057
72,2.2083726518555107,0.36253021919750583
73,1.6750931258460964,0.5473098140952855
74,1.8629903175633877,0.5138121776002913
75,1.8662830710108747,0.5194482042059634
76,1.8798730434702133,0.5152409457246689
77,1.8825597513694772,0.5140985813383059
78,2.289889613554349,0.3869719538600974
79,3.0451475143085434,0.7658609318755164
80,5.438146111983754,0.8009958175952613
81,6.996886062338209,0.7515728514297835
82,7.24230982500632,0.6590243715553916
83,5.518540156155023,0.5093097812862184
84,3.4941691212080426,0.4294702240258318
85,3.5640561978423233,0.44305797964351046
86,3.641854164758607,0.49319499961856716
87,4.330161468458989,0.6489323392153781
88,5.605579974343691,0.7683679337671843
89,6.295921119449384,0.7912153081372503
90,7.019251161242697,0.8076628334726382
91,7.158956183983672,0.7333437381862828
92,5.25599542781023,0.5464726638068845
93,3.0264018750121138,0.40958394788270824
94,2.625001552484597,0.2398941930819567
95,2.545677809743746,0.24840054407000656
96,2.207905157310228,0.36247866093656866
97,1.6797125464306963,0.545469700230832
98,1.869090823180691,0.511818017079188
99,1.8690030407570868,0.5183373789364643
100,1.8804455826566626,0.5147434620302059
101,1.883525151023527,0.5136300384786017
102,2.285711940055268,0.3891433581584708
103,3.0575383375364193,0.764269883675092
104,5.44955959807243,0.7995292084062218
105,7.019007713087021,0.7493444405351989
106,7.253828639820441,0.6585167133472187
107,5.544219970976839,0.5094332158035313
108,3.5256079587976874,0.4285367362592326
109,3.5787101956551757,0.4435907546110327
110,3.623408742818224,0.4963976197487181
111,4.333589195642357,0.6498392627842235
112,5.616334835548814,0.7679688986935753
113,6.296714740470129,0.7910236684258586
114,7.016427379343886,0.8076861914472555
115,7.154111129911787,0.733430599521466
116,5.26297838144365,0.5448337610902276
117,3.0247230645408254,0.4128012477220211
118,2.618411211511735,0.24201567069459273
119,2.5445641774282386,0.2478827793759104
120,2.2073728960637853,0.3604735281521151
121,1.6801180432753813,0.5445439192126164
122,1.8741197177265894,0.5100855288435713
123,1.877197973696124,0.5162980239668883
124,1.883188118505327,0.5140808597761493
125,1.8835135662352167,0.5142436102104172
126,2.282965221188513,0.3907592643035869
127,3.0597818412907105,0.7642124669987937
128,5.465041332988197,0.7978257158921356
129,7.018695707328457,0.7485743609194392
130,7.259727757957215,0.6578097033021686
131,5.548086576486618,0.5118174215368101
132,3.525877730498138,0.4300820916215863
133,3.579660071299004,0.4446098545029058
134,3.6252542977035493,0.49761580631904945
135,4.335008295144379,0.6505303366630564
136,5.615560488481541,0.768325963893599
137,6.293789382882294,0.7912643612233915
138,7.008025153780017,0.8076613249501962
139,7.1299771906999325,0.7334916325003433
140,5.22596924094057,0.5426518218856079
141,3.016142530240577,0.41330888303638
142,2.618292275290936,0.24118120702742907
143,2.545019882136386,0.24717988144411163
144,2.2090000035130206,0.3599373772850357
145,1.684418529879922,0.5430189231795576
146,1.8796341045450866,0.5084884066725218
147,1.8793493857109196,0.5155035995017695
148,1.8848631552671582,0.5132255640208214
149,1.8845529685843103,0.5139021258094998
150,2.2816915299537457,0.387483371559859
151,3.0307474365998175,0.7656802076857444
152,5.461994484789551,0.7968831342716979
153,7.013816709837697,0.7478654074174904
154,7.250734230914506,0.6577735679098959
155,5.55435760091021,0.5127601082169508
156,3.529787224746369,0.4310102637578793
157,3.5886629155489884,0.4470749172390338
158,3.6326553366262493,0.5010319109872374
159,4.328403578523402,0.6545329379192355
160,5.615177982130587,0.7687158541882779
161,6.290152672609167,0.791373447454206
162,6.999564800819143,0.8078382091756522
163,7.123705688500131,0.7322426594115121
164,5.213426108374103,0.5404841281913484
165,3.0161211816715943,0.4134505083520912
166,2.6223458291854893,0.24036327662996138
167,2.5545192750242243,0.24553372294061204
168,2.2070170095889954,0.3599340916665741
